,time,evlo,evla,dep,mag
109,2010-8-11 20:12:04,86.87,43.71,8,0.6
110,2010-8-11 06:20:26,87.34,43.76,8,0.2
111,2010-8-11 04:28:03,87.33,43.80,8,1.0
112,2010-8-11 02:22:13,87.26,43.92,8,1.0
113,2010-8-09 04:39:19,87.37,43.72,4,0.3
114,2010-8-08 18:08:39,86.55,44.34,8,1.2
115,2010-8-08 13:26:56,86.86,43.83,6,0.2
116,2010-8-07 09:57:38,86.50,44.29,9,0.7
117,2010-8-03 08:12:44,87.39,43.83,13,0.5
118,2010-8-02 23:03:19,86.69,43.64,8,0.5
119,2010-7-31 21:58:47,86.68,44.11,7,0.8
120,2010-7-31 21:01:41,86.53,44.21,7,0.6
121,2010-7-29 15:02:00,86.67,44.40,5,1.7
122,2010-7-28 19:39:48,86.53,43.70,7,0.3
123,2010-7-27 08:43:57,86.89,43.75,7,0.8
124,2010-7-23 01:50:56,87.27,43.88,7,0.5
125,2010-7-21 00:50:40,86.88,43.70,10,1.1
126,2010-7-20 17:32:30,87.17,43.71,8,0.7
127,2010-7-19 08:12:13,87.06,43.79,7,0.3
128,2010-7-16 21:26:31,86.53,43.69,7,0.3
129,2010-7-16 20:33:39,87.49,43.69,7,0.3
130,2010-7-16 19:55:25,87.36,43.77,7,0.7
131,2010-7-15 02:40:37,87.20,43.70,8,0.3
132,2010-7-10 22:34:27,87.11,43.77,10,0.9
133,2010-7-07 12:35:19,86.90,43.82,7,1.8
134,2010-7-06 08:34:01,87.08,44.13,3,0.5
135,2010-7-06 05:46:37,87.49,43.77,7,0.2
136,2010-7-05 22:40:08,87.31,44.03,12,0.8
137,2010-7-05 08:07:11,87.08,43.75,8,0.4
138,2010-7-05 03:11:49,86.84,44.25,7,0.9
139,2010-7-04 04:56:03,87.37,43.73,10,0.2
140,2010-7-02 00:18:31,87.15,43.51,9,0.8
141,2010-6-27 14:49:53,87.02,43.89,9,0.2
142,2010-6-26 10:16:45,87.06,43.80,14,0.4
143,2010-6-24 21:28:52,86.51,43.64,7,0.5
144,2010-6-19 13:53:19,86.78,43.53,8,0.5
145,2010-6-17 17:12:47,87.48,43.80,9,1.0
146,2010-6-14 23:49:10,86.71,43.58,8,0.3
147,2010-6-14 09:37:17,86.63,43.70,6,0.2
148,2010-6-13 09:15:35,87.15,43.62,10,1.1
149,2010-6-12 21:44:40,86.84,43.71,4,0.1
150,2010-6-12 08:39:18,87.35,43.76,4,0.6
151,2010-6-11 19:07:58,87.48,43.72,6,1.3
152,2010-6-11 00:09:05,87.02,43.94,7,0.3
153,2010-6-06 18:17:05,86.53,43.68,5,1.5
154,2010-6-03 11:00:03,86.63,43.65,6,0.1
155,2010-6-03 07:14:24,87.10,43.73,8,0.1
156,2010-6-02 20:11:55,87.08,44.10,10,0.5
157,2010-6-02 18:26:15,87.21,43.56,7,0.1
158,2010-5-31 12:59:19,87.36,43.77,4,0.4
159,2010-5-29 23:41:48,87.01,43.92,3,0.1
160,2010-5-29 20:07:20,86.91,43.64,7,0.1
161,2010-5-29 18:06:47,86.55,43.64,4,0.9
162,2010-5-29 15:05:31,86.51,43.70,7,1.6
163,2010-5-27 02:03:44,86.60,43.62,5,0.6
164,2010-5-26 00:28:06,87.09,43.64,11,0.6
165,2010-5-20 12:27:17,86.68,44.01,10,0.2
166,2010-5-17 09:25:20,86.95,43.74,9,0.6
167,2010-5-16 06:55:25,86.91,43.93,7,0.3
168,2010-5-09 17:36:47,86.57,44.20,8,0.4
169,2010-5-03 21:58:18,87.44,44.04,7,0.1
170,2010-4-29 13:42:29,87.07,43.68,10,0.5
171,2010-4-29 07:08:52,87.32,43.57,5,0.3
172,2010-4-26 18:19:05,87.19,44.20,8,1.0
173,2010-4-25 22:03:28,86.86,43.54,9,1.1
174,2010-4-25 20:11:13,87.19,43.78,11,0.6
175,2010-4-25 14:24:41,86.98,43.69,7,0.1
176,2010-4-25 05:44:23,87.11,43.54,9,0.9
177,2010-4-22 13:55:37,87.50,43.74,8,1.3
178,2010-4-19 20:34:08,87.32,43.94,3,0.2
179,2010-4-16 22:53:04,87.33,43.60,7,0.4
180,2010-4-14 01:19:50,86.67,43.65,9,1.0
181,2010-4-14 01:18:44,86.69,43.62,7,0.8
182,2010-4-11 21:54:13,86.69,43.74,10,1.8
183,2010-4-11 16:17:11,87.08,43.92,7,1.2
184,2010-4-09 19:59:58,86.54,43.72,8,0.6
185,2010-4-09 08:18:24,86.65,43.61,9,0.7
