,time,evlo,evla,dep,mag
0,2011-12-27 15:05:48,86.91,44.01,11,1.1
1,2011-12-23 07:28:52,86.84,43.64,5,0.4
2,2011-12-21 23:18:01,86.96,43.98,6,1.1
3,2011-12-18 10:47:46,86.83,43.82,4,0.7
4,2011-12-18 10:42:57,86.85,43.92,7,1.3
5,2011-12-18 03:18:32,87.10,43.68,10,0.4
6,2011-12-18 01:49:56,87.10,43.71,4,0.2
7,2011-12-15 08:01:37,86.52,43.72,29,0.8
8,2011-12-12 10:59:50,86.92,43.70,11,1.8
9,2011-12-11 18:18:48,87.43,43.93,12,1.1
10,2011-12-11 00:41:04,86.90,43.61,10,0.9
11,2011-12-09 09:36:27,86.87,44.09,9,1.0
12,2011-12-08 16:39:16,86.60,43.51,8,0.8
13,2011-12-07 08:49:25,86.89,43.59,6,0.6
14,2011-11-27 02:08:15,87.03,43.93,2,0.7
15,2011-11-20 13:09:01,86.91,44.31,3,1.2
16,2011-11-19 08:24:10,86.92,43.73,19,0.4
17,2011-11-15 02:28:06,87.42,43.75,6,0.7
18,2011-11-14 05:47:54,87.02,43.84,12,0.9
19,2011-11-10 18:16:16,86.98,43.88,30,0.6
20,2011-11-10 13:14:33,86.81,43.73,19,0.9
21,2011-11-09 14:08:11,87.16,44.41,8,1.2
22,2011-11-09 02:51:47,86.99,43.83,16,0.6
23,2011-11-08 20:18:22,86.83,43.88,8,0.1
24,2011-11-08 04:40:39,87.02,43.95,15,0.8
25,2011-11-07 07:28:57,86.83,43.68,8,1.1
26,2011-11-06 20:08:43,86.95,43.95,8,0.6
27,2011-11-05 13:42:36,86.76,43.72,9,0.3
28,2011-11-03 04:44:22,87.04,43.83,13,1.4
29,2011-10-29 04:44:46,86.94,43.99,9,0.7
30,2011-10-29 01:01:24,87.10,44.00,9,2.2
31,2011-10-26 00:48:44,87.07,43.93,2,1.5
32,2011-10-25 21:01:36,87.03,43.85,13,1.8
33,2011-10-25 03:32:36,87.20,43.53,8,0.1
34,2011-10-24 19:13:29,87.42,43.74,10,0.9
35,2011-10-21 15:07:09,87.04,43.99,9,0.5
36,2011-10-20 23:22:07,86.92,43.90,11,1.4
37,2011-10-20 21:56:53,86.93,43.82,8,0.7
38,2011-10-10 00:21:47,87.19,43.83,6,0.3
39,2011-10-08 14:38:20,87.29,44.13,8,1.4
40,2011-10-07 03:59:12,87.28,44.17,8,1.3
41,2011-10-04 17:19:00,87.04,43.86,2,1.7
42,2011-9-30 22:32:00,87.04,43.94,9,1.1
43,2011-9-29 21:06:04,87.23,43.70,7,0.5
44,2011-9-19 20:58:40,86.53,43.60,8,2.6
45,2011-9-16 12:56:39,87.35,43.76,4,0.4
46,2011-9-09 15:25:28,87.01,43.87,8,1.7
47,2011-9-01 15:00:42,87.39,43.75,8,0.5
48,2011-8-29 18:08:26,86.91,44.08,7,1.4
49,2011-8-29 06:39:48,87.02,43.60,12,0.6
50,2011-8-29 00:06:17,87.05,44.12,10,0.7
51,2011-8-28 20:00:24,87.20,43.59,8,1.4
52,2011-8-27 04:26:46,87.09,44.03,10,0.7
53,2011-8-26 16:32:57,87.19,43.97,9,1.3
54,2011-8-26 15:29:00,87.17,44.03,12,0.8
55,2011-8-22 08:53:58,86.97,43.99,7,1.3
56,2011-8-22 00:40:21,87.03,43.97,9,1.6
57,2011-8-09 20:29:05,87.50,43.83,5,0.8
58,2011-8-08 09:08:23,86.66,43.61,5,0.4
59,2011-8-04 07:30:41,87.06,44.31,9,1.4
60,2011-8-01 07:10:59,86.94,43.82,3,1.5
61,2011-7-27 17:16:51,86.58,44.49,9,1.8
62,2011-7-24 23:56:52,87.33,43.70,12,1.4
63,2011-7-22 20:27:27,87.47,43.89,10,1.1
64,2011-7-13 21:34:38,87.12,43.88,14,0.7
65,2011-7-08 11:18:49,86.67,44.24,12,1.3
66,2011-7-05 10:13:28,87.28,43.53,4,0.6
67,2011-7-03 18:27:28,86.90,43.71,9,0.5
68,2011-7-03 05:47:01,86.64,43.62,7,1.0
69,2011-7-03 01:20:35,87.00,43.87,11,0.9
70,2011-7-02 08:31:48,86.64,43.66,10,1.7
71,2011-7-01 18:42:33,87.45,43.86,4,1.0
72,2011-6-30 13:55:40,87.32,43.69,7,1.0
73,2011-6-30 13:54:29,87.31,43.70,3,0.4
74,2011-6-28 23:54:35,86.56,43.56,4,0.9
75,2011-6-26 03:34:30,86.90,43.59,10,1.3
76,2011-6-23 01:53:35,86.69,43.85,10,0.1
77,2011-6-17 01:57:10,87.38,43.59,10,0.2
78,2011-6-07 14:21:52,87.03,43.84,14,1.5
79,2011-6-05 03:03:56,87.18,43.95,7,0.8
80,2011-6-02 20:02:53,87.03,43.61,23,2.9
81,2011-5-31 20:21:34,87.10,43.77,8,1.6
82,2011-5-29 22:24:26,86.53,43.56,13,0.8
83,2011-5-27 22:27:37,87.14,43.82,10,0.9
84,2011-5-26 08:30:33,86.98,43.65,7,1.3
