,time,evlo,evla,dep,mag
0,2012-12-27 11:10:53,86.88,43.80,11,0.3
1,2012-12-26 18:10:37,86.87,43.79,9,1.0
2,2012-12-21 06:30:43,87.45,43.72,10,0.2
3,2012-12-18 18:29:06,87.43,43.72,8,1.0
4,2012-12-18 14:16:54,87.44,43.73,8,0.4
5,2012-12-18 11:32:50,87.39,43.75,10,1.8
6,2012-12-16 07:57:06,87.02,43.88,6,1.0
7,2012-12-16 05:58:13,86.89,44.06,10,0.6
8,2012-12-16 00:22:41,86.62,43.51,11,2.1
9,2012-12-15 12:56:23,87.45,43.98,7,1.5
10,2012-12-14 11:04:51,86.56,43.51,8,0.4
11,2012-12-14 08:27:51,86.94,44.02,16,0.8
12,2012-12-14 04:14:18,86.84,44.30,7,1.6
13,2012-12-14 02:28:37,87.04,43.85,12,1.3
14,2012-12-13 22:51:07,87.06,43.90,9,1.5
15,2012-12-10 05:17:15,86.69,44.18,12,0.8
16,2012-12-06 00:47:20,87.40,44.14,9,0.8
17,2012-12-05 14:04:39,87.13,44.39,11,1.3
18,2012-12-05 10:32:49,87.45,43.73,8,0.4
19,2012-12-04 00:31:01,86.90,43.65,11,0.6
20,2012-12-03 07:05:45,87.47,43.70,7,0.8
21,2012-12-03 03:20:39,87.45,43.73,8,0.7
22,2012-12-01 04:06:33,87.21,43.74,18,0.2
23,2012-11-30 03:24:57,87.43,43.72,7,0.6
24,2012-11-29 17:25:04,87.46,44.04,8,1.2
25,2012-11-28 11:21:15,87.42,43.71,13,0.3
26,2012-11-25 18:32:56,86.92,43.67,10,1.5
27,2012-11-24 18:05:24,87.00,43.92,9,0.9
28,2012-11-23 10:39:05,86.77,43.72,10,0.5
29,2012-11-22 12:33:14,87.44,43.73,6,2.1
30,2012-11-22 09:26:01,87.04,43.84,10,1.5
31,2012-11-21 06:53:09,87.47,43.94,8,0.7
32,2012-11-20 18:08:19,86.74,44.37,7,0.9
33,2012-11-19 22:16:24,87.23,44.22,2,1.1
34,2012-11-19 03:56:21,87.05,43.65,7,0.5
35,2012-11-18 15:50:42,87.49,43.92,7,0.8
36,2012-11-16 14:27:58,87.34,43.74,9,2.1
37,2012-11-15 16:25:19,86.86,44.47,9,1.5
38,2012-11-15 07:33:54,87.39,43.78,4,2.3
39,2012-11-13 20:43:29,87.08,44.06,10,1.3
40,2012-11-13 19:32:21,86.84,44.21,3,0.9
41,2012-11-11 17:10:08,87.44,43.72,7,0.9
42,2012-11-11 13:16:12,87.05,43.90,10,1.5
43,2012-11-10 20:00:41,87.01,43.89,8,1.0
44,2012-11-08 04:01:07,86.80,44.37,9,0.8
45,2012-11-05 02:21:51,87.01,44.00,8,1.1
46,2012-11-04 06:38:51,86.98,44.49,15,1.0
47,2012-10-28 16:09:34,87.49,44.13,9,1.0
48,2012-10-27 16:04:43,87.47,44.14,7,1.1
49,2012-10-26 10:42:02,87.08,43.85,6,0.7
50,2012-10-22 06:00:13,86.93,44.04,11,0.7
51,2012-10-22 03:02:51,86.95,43.69,46,0.6
52,2012-10-21 23:22:06,87.42,43.53,8,0.3
53,2012-10-21 14:06:38,87.04,43.92,18,0.7
54,2012-10-21 14:03:23,87.01,43.83,18,1.1
55,2012-10-21 13:43:42,87.40,43.52,8,1.1
56,2012-10-21 11:56:02,87.40,43.53,7,1.1
57,2012-10-21 11:50:25,87.00,43.98,12,1.4
58,2012-10-21 11:29:39,87.05,43.96,10,1.1
59,2012-10-21 11:24:05,87.07,43.88,10,3.1
60,2012-10-21 11:03:56,87.04,43.86,12,1.9
